,Olympiad_Participation,Scholarship,School,Fav_sub,Projects,Grasp_pow,Time_sprt,Medals,Career_sprt,Act_sprt,Fant_arts,Won_arts,Time_art,Predicted_Hobby
371,1,1,1,3,1,3,3,0,0,0,0,0,1,0
372,1,1,1,0,0,4,2,1,0,0,1,1,2,0
373,1,1,1,3,0,2,2,1,0,1,1,1,1,0
374,1,1,1,3,1,1,3,1,0,1,0,1,1,0
375,1,1,1,3,1,2,3,1,0,1,1,1,5,0
376,1,1,1,2,1,1,2,0,0,0,1,1,1,0
377,1,1,1,1,1,4,4,1,0,0,0,1,5,0
378,1,1,1,2,0,3,1,0,0,1,1,1,1,0
379,1,1,1,3,0,4,3,1,0,0,0,1,3,0
380,1,1,1,3,1,2,3,0,0,0,0,1,3,0
381,1,1,1,3,0,3,1,1,0,1,0,1,2,0
382,1,1,1,2,0,2,3,0,0,0,0,1,3,0
383,1,1,1,2,1,3,2,1,0,1,0,1,1,0
384,1,1,1,3,1,3,1,1,0,1,1,1,1,0
385,1,1,1,3,0,4,3,1,0,1,1,1,3,0
386,1,1,1,3,1,4,4,1,0,0,1,1,1,0
387,1,1,1,2,0,3,1,0,0,1,0,1,2,0
388,1,1,1,2,0,5,1,0,0,0,0,1,1,0
389,1,1,1,3,1,2,3,0,0,1,0,1,2,0
390,1,1,1,2,0,4,3,1,0,1,0,1,1,0
391,1,1,1,2,0,5,3,0,0,0,0,0,1,0
392,1,1,1,2,0,3,2,0,0,0,1,1,2,0
393,1,1,1,0,0,4,3,0,0,1,1,1,1,0
394,1,1,1,3,1,3,2,0,0,0,1,1,1,0
395,1,1,1,2,0,4,3,0,0,1,1,1,1,0
396,1,1,1,2,0,4,3,0,1,1,1,1,2,0
397,1,1,1,2,1,2,3,0,1,1,0,1,2,0
398,1,1,1,1,1,4,5,0,1,0,0,0,3,0
399,1,1,1,1,0,4,2,1,0,1,0,1,2,0
400,1,1,1,3,0,3,5,0,0,1,1,1,1,0
401,1,1,1,3,1,4,3,1,0,0,0,1,3,0
402,1,1,1,2,0,4,3,0,0,1,1,1,3,0
403,1,1,1,3,1,2,3,0,0,1,0,1,2,0
404,1,1,1,2,1,3,2,0,1,0,1,1,1,0
405,1,1,1,1,1,3,3,1,0,1,1,1,3,0
406,1,1,1,2,0,3,4,0,0,0,0,0,1,0
407,1,1,1,2,0,1,2,1,0,1,1,1,1,0
408,1,1,1,2,1,2,2,0,0,0,1,0,1,0
409,1,1,1,2,1,5,3,1,0,1,1,1,1,0
410,1,1,1,1,0,4,2,0,0,1,1,1,2,0
411,1,1,1,0,1,5,3,1,0,1,0,1,1,0
412,1,1,1,0,1,5,3,0,0,1,0,1,1,0
413,1,1,1,2,1,5,2,1,1,1,1,1,1,0
414,1,1,1,0,1,5,2,1,1,1,0,1,2,0
415,1,1,1,3,1,4,1,1,0,1,0,1,3,0
416,1,1,1,0,1,3,1,1,1,1,1,0,2,0
417,1,1,1,3,1,4,3,1,0,1,1,2,2,0
418,1,1,1,3,0,4,3,0,0,0,1,0,3,0
419,1,1,1,3,1,5,3,1,0,1,0,1,1,0
420,1,1,1,2,1,4,1,1,1,1,1,0,2,0
421,1,1,1,2,0,5,3,0,0,1,1,1,3,0
422,1,1,1,2,1,5,5,1,1,1,0,1,1,0
423,1,1,1,2,1,3,2,0,1,0,1,1,1,0
424,1,1,1,0,1,3,3,1,1,0,0,2,2,0
425,1,1,1,2,0,3,4,0,0,0,0,0,1,0
426,1,1,1,0,0,4,2,1,0,1,1,1,2,0
427,1,1,1,2,0,4,2,1,0,1,1,1,1,0
428,1,1,1,2,0,3,2,1,0,0,0,1,3,0
429,1,1,1,2,1,3,2,0,1,1,1,1,1,0
430,1,1,1,3,1,4,3,1,0,1,1,1,3,0
431,1,1,1,2,1,4,4,1,0,0,0,1,1,0
432,1,1,1,3,0,3,1,0,0,0,0,1,1,0
433,1,1,1,1,0,4,1,0,0,0,0,2,1,0
434,1,1,1,3,0,3,1,0,0,1,0,2,1,0
